STATION_ID,STATION_NAME,DATA_BEGIN_DATE,DATA_END_DATE,LOC_BEGIN_DATE,LOC_END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
WBAN:24061,"RIVERTON REGIONAL AIRPORT, WY US",94694400000,1.74649E+12,1.63754E+12,2.53402E+14,Wyoming,United States,43.06217,-108.44705,1660.3
WBAN:24029,"SHERIDAN AIRPORT, WY US",-6.9431E+11,1.74649E+12,1.63754E+12,2.53402E+14,Wyoming,United States,44.76031,-106.97413,1210.4
WBAN:12962,"HONDO MUNICIPAL AIRPORT, TX US",-8.61408E+11,1.74649E+12,1.63754E+12,2.53402E+14,Texas,United States,29.36013,-99.17423,281
WBAN:12918,"HOUSTON WILLIAM P HOBBY AIRPORT, TX US",-6.78586E+11,1.74649E+12,1.63754E+12,2.53402E+14,Texas,United States,29.64586,-95.28212,13.2
WBAN:53910,"HOUSTON HOOKS MEMORIAL AIRPORT, TX US",1.10454E+12,1.74649E+12,1.63754E+12,2.53402E+14,Texas,United States,30.06801,-95.55628,46.8
WBAN:13966,"WICHITA FALLS MUNICIPAL AIRPORT, TX US",-8.748E+11,1.74649E+12,1.63754E+12,2.53402E+14,Texas,United States,33.97855,-98.49298,308.6
WBAN:93042,"DALHART FAA AIRPORT, TX US",-8.57347E+11,1.74649E+12,1.63754E+12,2.53402E+14,Texas,United States,36.02516,-102.54875,1215.5
WBAN:23170,"HANKSVILLE AIRPORT, UT US",-6.67958E+11,1.74649E+12,-1.13702E+11,2.53402E+14,Utah,United States,38.41667,-110.7,1355.1
WBAN:13773,"QUANTICO MCAS, VA US",-7.8624E+11,1.74649E+12,-1.49377E+12,2.53402E+14,Virginia,United States,38.50362,-77.30503,3
WBAN:94298,"VANCOUVER PEARSON AIRPORT, WA US",1.10454E+12,1.74649E+12,1.63754E+12,2.53402E+14,Washington,United States,45.62102,-122.65421,6.6
WBAN:24243,"YAKIMA AIRPORT, WA US",-6.9431E+11,1.74649E+12,1.63754E+12,2.53402E+14,Washington,United States,46.56398,-120.53488,321
